scenario,calibration,exit_mode,replication,seed,survival_rate,mean_welfare
baseline,low,endogenous,123,340036,0.7667,72.2118
baseline,low,endogenous,124,883795,0.8333,73.5944
baseline,low,endogenous,125,805636,0.9333,79.8817
baseline,low,endogenous,126,813695,0.6333,64.035
baseline,low,endogenous,127,58656,0.2333,49.5805
baseline,low,endogenous,128,240175,0.4667,63.7797
baseline,low,endogenous,129,861723,0.6333,63.4718
baseline,low,endogenous,130,33660,0.9333,74.3753
baseline,low,endogenous,131,844152,0.7,59.1539
baseline,low,endogenous,132,330777,0.5333,61.8734
baseline,low,endogenous,133,420652,0.5333,65.8681
baseline,low,endogenous,134,280747,0.8333,77.8144
baseline,low,endogenous,135,69404,0.8333,76.1547
baseline,low,endogenous,136,221232,0.7667,62.9653
baseline,low,endogenous,137,957493,0.5667,54.8184
baseline,low,endogenous,138,988713,0.8333,69.5854
baseline,low,endogenous,139,594732,0.9667,78.9128
baseline,low,endogenous,140,918939,0.6667,65.8694
baseline,low,endogenous,141,752788,0.8667,75.3381
baseline,low,endogenous,142,329964,0.8,65.1185
baseline,low,endogenous,143,222956,0.7333,65.2643
baseline,low,endogenous,144,687278,0.5667,57.6188
baseline,low,endogenous,145,523482,0.9333,72.3126
baseline,low,endogenous,146,414851,0.4,48.1802
baseline,low,endogenous,147,927658,0.7667,63.0022
baseline,low,endogenous,148,958973,0.9667,75.3203
baseline,low,endogenous,149,674080,0.8333,74.1335
baseline,low,endogenous,150,481142,0.8,71.424
baseline,low,endogenous,151,149812,0.9667,71.7534
baseline,low,endogenous,152,277747,0.4,53.0187
baseline,low,endogenous,153,146414,0.6,59.4702
baseline,low,endogenous,154,258608,1.0,79.1093
baseline,low,endogenous,155,781178,0.8667,63.9931
baseline,low,endogenous,156,588638,0.9,79.5654
baseline,low,endogenous,157,565159,0.8333,73.5626
baseline,low,endogenous,158,275505,0.8333,76.0742
baseline,low,endogenous,159,783301,0.6,66.7968
baseline,low,endogenous,160,612983,0.8333,67.9081
baseline,low,endogenous,161,449246,0.8667,77.1705
baseline,low,endogenous,162,941436,0.7333,65.2718
baseline,low,endogenous,163,611879,0.8,67.6459
baseline,low,endogenous,164,418802,0.7333,63.0867
baseline,low,endogenous,165,379581,0.7667,73.1927
baseline,low,endogenous,166,229975,0.9333,79.9442
baseline,low,endogenous,167,145052,0.9,70.0303
baseline,low,endogenous,168,534278,0.8667,74.1434
baseline,low,endogenous,169,517489,0.7,73.3599
baseline,low,endogenous,170,95326,0.6667,64.0534
baseline,low,endogenous,171,792496,0.9,68.7178
baseline,low,endogenous,172,49406,0.7333,65.0055
baseline,low,endogenous,173,902932,0.9,71.6996
baseline,low,endogenous,174,114976,0.7333,63.6965
baseline,low,endogenous,175,160266,0.9,75.701
baseline,low,endogenous,176,657925,0.5,52.0359
baseline,low,endogenous,177,167754,0.9667,77.3914
baseline,low,endogenous,178,830556,0.9333,77.0004
baseline,low,endogenous,179,713537,0.6667,58.7502
baseline,low,endogenous,180,442667,0.8333,72.385
baseline,low,endogenous,181,625381,0.6667,68.2528
baseline,low,endogenous,182,66614,0.5667,69.2639
baseline,low,endogenous,183,403458,0.9,72.6499
baseline,low,endogenous,184,400157,1.0,74.2776
baseline,low,endogenous,185,624835,0.7333,64.9803
baseline,low,endogenous,186,490786,0.6333,60.7373
baseline,low,endogenous,187,554817,0.5667,60.4678
baseline,low,endogenous,188,263627,0.8,68.3162
baseline,low,endogenous,189,580100,0.4667,40.9455
baseline,low,endogenous,190,902593,0.8,70.4587
baseline,low,endogenous,191,988211,0.6,71.5256
baseline,low,endogenous,192,12039,0.8667,70.7325
baseline,low,endogenous,193,713329,1.0,78.1397
baseline,low,endogenous,194,755732,0.7,64.7569
baseline,low,endogenous,195,120117,0.7333,68.3454
baseline,low,endogenous,196,714826,0.6,62.0763
baseline,low,endogenous,197,927768,0.3667,54.1336
baseline,low,endogenous,198,563055,0.3333,45.4007
baseline,low,endogenous,199,787353,0.6,62.0412
baseline,low,exogenous,0,670488,1.0,75.5828
baseline,low,exogenous,1,116740,1.0,75.2485
baseline,low,exogenous,2,26226,1.0,71.9566
baseline,low,exogenous,3,777573,1.0,75.4258
baseline,low,exogenous,4,288390,1.0,70.7386
baseline,low,exogenous,5,256788,1.0,82.4682
baseline,low,exogenous,6,234054,1.0,75.1449
baseline,low,exogenous,7,146317,1.0,75.7587
baseline,low,exogenous,8,772247,1.0,76.4426
baseline,low,exogenous,9,107474,1.0,80.4287
baseline,low,exogenous,10,709571,1.0,82.2878
baseline,low,exogenous,11,776647,1.0,80.3676
baseline,low,exogenous,12,935519,1.0,75.2855
baseline,low,exogenous,13,571859,1.0,78.2436
baseline,low,exogenous,14,91162,1.0,77.783
baseline,low,exogenous,15,619177,1.0,71.7876
baseline,low,exogenous,16,442418,1.0,70.2823
baseline,low,exogenous,17,33327,1.0,86.272
baseline,low,exogenous,18,31245,1.0,77.4437
baseline,low,exogenous,19,98247,1.0,77.4793
baseline,low,exogenous,20,229259,1.0,81.3119
baseline,low,exogenous,21,243963,1.0,80.9403
baseline,low,exogenous,22,529904,1.0,83.8575
baseline,low,exogenous,23,631263,1.0,81.2595
baseline,low,exogenous,24,27825,1.0,76.5236
baseline,low,exogenous,25,588509,1.0,77.2368
baseline,low,exogenous,26,208497,1.0,74.5351
baseline,low,exogenous,27,750801,1.0,73.9324
baseline,low,exogenous,28,681454,1.0,79.3761
baseline,low,exogenous,29,735393,1.0,76.658
baseline,low,exogenous,30,571413,1.0,78.6638
baseline,low,exogenous,31,439899,1.0,82.6821
baseline,low,exogenous,32,231149,1.0,68.5678
baseline,low,exogenous,33,471030,1.0,78.0104
baseline,low,exogenous,34,617890,1.0,79.079
baseline,low,exogenous,35,291705,1.0,86.1899
baseline,low,exogenous,36,848750,1.0,76.2632
baseline,low,exogenous,37,911528,1.0,77.2018
baseline,low,exogenous,38,6815,1.0,75.486
baseline,low,exogenous,39,795668,1.0,76.5788
baseline,low,exogenous,40,844963,1.0,79.457
baseline,low,exogenous,41,167415,1.0,79.3136
baseline,low,exogenous,42,732053,1.0,80.7225
baseline,low,exogenous,43,443144,1.0,73.1408
