scenario,calibration,exit_mode,replication,seed,survival_rate,mean_welfare
baseline,mid,endogenous,119,721591,0.3,19.9297
baseline,mid,endogenous,120,584005,0.8,28.1024
baseline,mid,endogenous,121,230284,0.5667,16.2929
baseline,mid,endogenous,122,717871,0.6333,27.5455
baseline,mid,endogenous,123,340036,0.7667,23.9072
baseline,mid,endogenous,124,883795,0.8333,26.7683
baseline,mid,endogenous,125,805636,0.9333,35.222
baseline,mid,endogenous,126,813695,0.6333,24.9347
baseline,mid,endogenous,127,58656,0.2333,19.5186
baseline,mid,endogenous,128,240175,0.4667,26.916
baseline,mid,endogenous,129,861723,0.6333,22.9072
baseline,mid,endogenous,130,33660,0.9333,30.6748
baseline,mid,endogenous,131,844152,0.7,23.86
baseline,mid,endogenous,132,330777,0.5333,22.7771
baseline,mid,endogenous,133,420652,0.5333,28.3314
baseline,mid,endogenous,134,280747,0.8333,31.0628
baseline,mid,endogenous,135,69404,0.8333,35.6487
baseline,mid,endogenous,136,221232,0.7667,22.1768
baseline,mid,endogenous,137,957493,0.5667,20.2256
baseline,mid,endogenous,138,988713,0.8333,27.2539
baseline,mid,endogenous,139,594732,0.9667,34.0341
baseline,mid,endogenous,140,918939,0.6667,30.4456
baseline,mid,endogenous,141,752788,0.8667,34.9646
baseline,mid,endogenous,142,329964,0.8,20.1899
baseline,mid,endogenous,143,222956,0.7333,30.0675
baseline,mid,endogenous,144,687278,0.5667,22.5231
baseline,mid,endogenous,145,523482,0.9333,27.5255
baseline,mid,endogenous,146,414851,0.4,18.2624
baseline,mid,endogenous,147,927658,0.7667,16.5022
baseline,mid,endogenous,148,958973,0.9667,27.2273
baseline,mid,endogenous,149,674080,0.8333,29.677
baseline,mid,endogenous,150,481142,0.8,27.9104
baseline,mid,endogenous,151,149812,0.9667,23.5166
baseline,mid,endogenous,152,277747,0.4,17.4397
baseline,mid,endogenous,153,146414,0.6,21.4067
baseline,mid,endogenous,154,258608,1.0,34.8287
baseline,mid,endogenous,155,781178,0.8667,18.1108
baseline,mid,endogenous,156,588638,0.9,36.5851
baseline,mid,endogenous,157,565159,0.8333,27.1675
baseline,mid,endogenous,158,275505,0.8333,33.4778
baseline,mid,endogenous,159,783301,0.6,26.8069
baseline,mid,endogenous,160,612983,0.8333,25.9938
baseline,mid,endogenous,161,449246,0.8667,35.3627
baseline,mid,endogenous,162,941436,0.7333,21.0238
baseline,mid,endogenous,163,611879,0.8,26.0907
baseline,mid,endogenous,164,418802,0.7333,26.9552
baseline,mid,endogenous,165,379581,0.7667,26.5331
baseline,mid,endogenous,166,229975,0.9333,38.0202
baseline,mid,endogenous,167,145052,0.9,21.2198
baseline,mid,endogenous,168,534278,0.8667,29.9812
baseline,mid,endogenous,169,517489,0.7,35.6211
baseline,mid,endogenous,170,95326,0.6667,27.9974
baseline,mid,endogenous,171,792496,0.9,15.3595
baseline,mid,endogenous,172,49406,0.7333,25.5255
baseline,mid,endogenous,173,902932,0.9,22.0047
baseline,mid,endogenous,174,114976,0.7333,23.8496
baseline,mid,endogenous,175,160266,0.9,27.0854
baseline,mid,endogenous,176,657925,0.5,24.8333
baseline,mid,endogenous,177,167754,0.9667,33.3221
baseline,mid,endogenous,178,830556,0.9333,32.8792
baseline,mid,endogenous,179,713537,0.6667,17.229
baseline,mid,endogenous,180,442667,0.8333,30.2136
baseline,mid,endogenous,181,625381,0.6667,24.7478
baseline,mid,endogenous,182,66614,0.5667,24.5046
baseline,mid,endogenous,183,403458,0.9,24.1817
baseline,mid,endogenous,184,400157,1.0,23.4511
baseline,mid,endogenous,185,624835,0.7333,24.5295
baseline,mid,endogenous,186,490786,0.6333,23.3887
baseline,mid,endogenous,187,554817,0.5667,27.4382
baseline,mid,endogenous,188,263627,0.8,24.7866
baseline,mid,endogenous,189,580100,0.4667,13.1583
baseline,mid,endogenous,190,902593,0.8,24.0152
baseline,mid,endogenous,191,988211,0.6,27.0679
baseline,mid,endogenous,192,12039,0.8667,26.8079
baseline,mid,endogenous,193,713329,1.0,34.3368
baseline,mid,endogenous,194,755732,0.7,30.687
baseline,mid,endogenous,195,120117,0.7333,26.3527
baseline,mid,endogenous,196,714826,0.6,25.4787
baseline,mid,endogenous,197,927768,0.3667,23.3909
baseline,mid,endogenous,198,563055,0.3333,18.6151
baseline,mid,endogenous,199,787353,0.6,15.4835
baseline,mid,exogenous,0,670488,1.0,27.524
baseline,mid,exogenous,1,116740,1.0,24.7505
baseline,mid,exogenous,2,26226,1.0,19.4132
