scenario,exit_mode,replication,seed,survival_rate,mean_welfare,survival_new,survival_mid,survival_exp
baseline,endogenous,84,303446,0.7667,23.0321,0.75,0.8,0.7143
baseline,endogenous,85,83668,0.6,32.9243,0.5714,0.5833,0.6364
baseline,endogenous,86,896866,0.7333,18.2085,0.75,0.7778,0.6667
baseline,endogenous,87,244099,0.7667,25.0905,1.0,0.75,0.6667
baseline,endogenous,88,908574,0.7667,22.9253,0.875,0.6667,0.8
baseline,endogenous,89,105908,0.7333,27.2544,0.7143,0.6429,0.8889
baseline,endogenous,90,398592,0.8333,29.1411,1.0,0.7273,0.8333
baseline,endogenous,91,291477,0.9,25.5611,1.0,0.9167,0.8333
baseline,endogenous,92,475436,0.6,24.9787,0.75,0.4,0.8571
baseline,endogenous,93,666564,0.9333,34.6391,0.8889,0.9333,1.0
baseline,endogenous,94,874629,0.7,35.6138,0.75,0.5,0.9167
baseline,endogenous,95,382555,0.8,23.6783,0.7692,1.0,0.7
baseline,endogenous,96,170556,0.7,26.9461,0.2857,0.75,0.9091
baseline,endogenous,97,388163,0.8,19.3573,0.8182,0.7857,0.8
baseline,endogenous,98,372529,0.5667,31.0026,0.4,0.5833,0.6154
baseline,endogenous,99,219685,0.9333,22.0437,1.0,0.8571,1.0
baseline,endogenous,100,702730,0.5333,24.3413,0.375,0.5,0.7
baseline,endogenous,101,279947,0.5333,18.4467,0.5625,0.4286,0.5714
baseline,endogenous,102,735912,0.6,20.0286,0.4,0.5714,1.0
baseline,endogenous,103,982154,0.6667,31.644,0.8333,0.6429,0.6
baseline,endogenous,104,716752,0.7,24.7243,0.7143,0.6429,0.7778
baseline,endogenous,105,679515,0.5,19.8445,0.4286,0.5385,0.5
baseline,endogenous,106,74871,0.8667,34.8453,1.0,0.8462,0.8462
baseline,endogenous,107,638721,0.9333,35.2409,1.0,0.75,1.0
baseline,endogenous,108,665823,0.9,21.4901,0.8,0.9286,1.0
baseline,endogenous,109,179452,0.3333,21.3279,0.3333,0.2143,0.5714
baseline,endogenous,110,560087,0.4667,25.609,0.4,0.6,0.4
baseline,endogenous,111,764545,0.8,13.8679,0.8333,0.7273,0.8571
baseline,endogenous,112,256703,0.9333,26.4518,0.9333,0.8889,1.0
baseline,endogenous,113,171340,0.6333,23.8007,0.6667,0.6154,0.6
baseline,endogenous,114,484715,0.6333,25.9748,1.0,0.4615,0.5
